framework,scenario,run,total_energy_uJ,total_energy_J,total_energy_kWh,core_energy_uJ,core_energy_J,core_energy_kWh,uncore_energy_uJ,uncore_energy_J,uncore_energy_kWh,duration_s,avg_power_W,co2_emissions_g,co2_emissions_kg,samples
vue,simple,5,84253580.0,84.25358,2.3403772222222222e-05,72018270.0,72.01827,2.0005075e-05,1073616.0,1.073616,2.982266666666666e-07,18.32150387763977,4.598617043812989,0.014791184044444444,1.4791184044444443e-05,10
vue,medium,1,454811441.0,454.811441,0.0001263365113888889,416340825.0,416.340825,0.00011565022916666666,2183561.0,2.183561,6.065447222222222e-07,59.07362604141235,7.699060841147008,0.07984467519777778,7.984467519777778e-05,30
vue,medium,2,486672612.0,486.672612,0.00013518683666666667,447758783.0,447.758783,0.0001243774397222222,2516241.0,2.516241,6.989558333333333e-07,58.87433934211731,8.266294236814407,0.08543808077333334,8.543808077333334e-05,30
vue,medium,3,461343407.0,461.343407,0.00012815094638888888,422957613.0,422.957613,0.00011748822583333333,2221101.0,2.221101,6.169725e-07,59.20224642753601,7.792667252326105,0.08099139811777778,8.099139811777778e-05,30
vue,medium,4,451300210.0,451.30021,0.00012536116944444445,413057304.0,413.057304,0.00011473814,2014691.0,2.014691,5.596363888888888e-07,59.02130722999573,7.646394686606346,0.07922825908888889,7.922825908888889e-05,30
vue,medium,5,462888200.0,462.8882,0.00012858005555555556,424649768.0,424.649768,0.00011795826888888888,2018614.0,2.018614,5.607261111111111e-07,59.142224073410034,7.8266958548167205,0.08126259511111111,8.126259511111112e-05,30
vue,complex,1,1122963157.0,1122.963157,0.00031193421027777776,1056871961.0,1056.871961,0.0002935755447222222,2855067.0,2.855067,7.930741666666667e-07,99.85154175758362,11.246327670395857,0.19714242089555553,0.00019714242089555553,50
vue,complex,2,1136069399.0,1136.069399,0.0003155748330555555,1069768113.0,1069.768113,0.0002971578091666667,3100593.0,3.100593,8.612758333333333e-07,99.93185067176819,11.368441506517119,0.1994432944911111,0.0001994432944911111,50
vue,complex,3,1137638785.0,1137.638785,0.00031601077361111113,1072338801.0,1072.338801,0.0002978718891666667,3250600.0,3.2506,9.029444444444445e-07,97.9837498664856,11.61048425427856,0.19971880892222224,0.00019971880892222224,49
vue,complex,4,1142421102.0,1142.421102,0.000317339195,1075823461.0,1075.823461,0.0002988398502777778,3399147.0,3.399147,9.442075e-07,99.8294689655304,11.44372612454205,0.20055837124,0.00020055837124000002,50
vue,complex,5,1148995930.0,1148.99593,0.0003191655361111111,1082522269.0,1082.522269,0.00030070063027777777,3406825.0,3.406825,9.463402777777778e-07,99.84126567840576,11.508226805747631,0.20171261882222222,0.00020171261882222222,50
